ID,Topico,Pergunta,Alt_A,Alt_B,Alt_C,Alt_D,Resposta_Correta,Explicacao,Sua_Resposta,Confianca,Data_Resposta
89,4. Modelagem Direct Lake,Um engenheiro de dados está projetando um modelo de dados para um lago de dados que armazena informações de clientes. Qual é o benefício de usar um modelo de dados de dados de validação em um lago de dados?,Melhorar a performance de consulta,Reduzir o custo de armazenamento,Aumentar a capacidade de armazenar e consultar dados de validação,Simplificar a manutenção do esquema de dados,C,"Um modelo de dados de dados de validação em um lago de dados permite uma melhor capacidade de armazenar e consultar dados de validação, pois facilita a representação e a análise de dados que descrevem as regras de validação aplicadas aos dados.",,,
90,8. T-SQL no Warehouse,Uma empresa está migrando seu banco de dados para o Azure Synapse Analytics e precisa otimizar as consultas de T-SQL para obter melhores desempenhos. Qual é a melhor abordagem para otimizar as consultas?,Reescrever as consultas utilizando apenas operadores de conjuntos,Utilizar índices columnstore em todas as tabelas,Analisar o plano de execução das consultas e aplicar otimizações específicas,Aumentar a capacidade de processamento do cluster,C,"Analisar o plano de execução das consultas permite identificar gargalos específicos e aplicar otimizações direcionadas, melhorando o desempenho de forma eficiente. As outras opções podem ser benéficas em alguns casos, mas não são a melhor abordagem geral para otimizar consultas.",,,
91,8. T-SQL no Warehouse,Qual é o propósito do comando 'CREATE TABLE' com a opção 'WITH (DISTRIBUTION = HASH (column_name))' no Azure Synapse Analytics?,Criar uma tabela com distribuição round-robin,Criar uma tabela com distribuição de hash em uma coluna específica,Criar uma tabela com replicação em todas as distribuições,Criar uma tabela com índice columnstore,B,"A opção 'DISTRIBUTION = HASH (column_name)' é usada para distribuir os dados de uma tabela pelo valor de uma coluna específica, o que pode melhorar o desempenho de joins e outras operações que envolvem essa coluna.",,,
92,8. T-SQL no Warehouse,Como você pode criar um índice columnstore clusterizado em uma tabela existente no Azure Synapse Analytics?,Utilizando o comando 'CREATE INDEX' com a opção 'CLUSTERED COLUMNSTORE',Utilizando o comando 'CREATE TABLE' com a opção 'WITH (CLUSTERED COLUMNSTORE INDEX)',Executando o comando 'ALTER TABLE' com a opção 'ADD CONSTRAINT',Executando o comando 'DROP INDEX' seguido de 'CREATE INDEX',A,O comando 'CREATE INDEX' com a opção 'CLUSTERED COLUMNSTORE' é a forma correta de criar um índice columnstore clusterizado em uma tabela existente. Isso permite que os dados sejam reorganizados e armazenados de forma otimizada para consultas analíticas.,,,
93,8. T-SQL no Warehouse,Qual é o objetivo da função 'CROSS APPLY' em uma consulta T-SQL?,Executar uma função de tabela para cada linha da tabela de origem,Realizar um join com uma tabela derivada,Filtrar linhas com base em uma condição,Agrupar dados por uma coluna específica,A,"A função 'CROSS APPLY' é usada para aplicar uma função de tabela a cada linha da tabela de origem, permitindo que os resultados sejam incorporados à consulta principal.",,,
94,8. T-SQL no Warehouse,Qual é a diferença entre 'UNION' e 'UNION ALL' em T-SQL?,"'UNION' remove linhas duplicadas, enquanto 'UNION ALL' inclui todas as linhas",'UNION' é mais rápido que 'UNION ALL' para conjuntos de dados grandes,"'UNION' só pode ser usado com duas consultas, enquanto 'UNION ALL' pode ser usado com mais de duas","'UNION' é usado para joins, enquanto 'UNION ALL' é usado para subconsultas",A,"A principal diferença entre 'UNION' e 'UNION ALL' é que 'UNION' remove automaticamente linhas duplicadas do resultado final, enquanto 'UNION ALL' inclui todas as linhas da união, mesmo que haja duplicatas.",,,
95,8. T-SQL no Warehouse,Qual é o benefício de usar partições em tabelas no Azure Synapse Analytics?,Melhorar a segurança dos dados,Aumentar a capacidade de armazenamento,Otimizar as consultas por permitir a eliminação de partições,Reduzir a complexidade da gestão de dados,C,"Particionar tabelas permite que as consultas sejam otimizadas pela eliminação de partições, o que pode significativamente melhorar o desempenho, pois apenas as partições relevantes precisam ser acessadas.",,,
96,8. T-SQL no Warehouse,Como você pode melhorar a performance de uma consulta que envolve uma grande tabela de fatos e várias tabelas de dimensão no Azure Synapse Analytics?,Usar índices columnstore em todas as tabelas,Criar índices em colunas usadas em joins,Optimizar a ordem dos joins para reduzir o tamanho dos conjuntos de dados intermediários,Todas as opções acima,D,"Uma abordagem combinada que inclui o uso de índices columnstore, criação de índices em colunas de join, e otimização da ordem dos joins pode significativamente melhorar a performance de consultas complexas.",,,
97,8. T-SQL no Warehouse,Qual é o papel do 'CTAS' (CREATE TABLE AS SELECT) no Azure Synapse Analytics?,"Criar uma tabela com base em uma consulta, mas sem os dados","Criar uma tabela com os resultados de uma consulta, incluindo os dados",Criar uma tabela com uma estrutura específica para índices columnstore,Criar uma tabela com partições baseadas em uma data,B,O 'CTAS' é usado para criar uma nova tabela que inclui os dados resultantes de uma consulta. Isso é especialmente útil para criar tabelas de trabalho ou para transformar dados de uma forma para outra.,,,
98,8. T-SQL no Warehouse,Qual é o benefício de usar a cláusula 'OPTION (RECOMPILE)' em uma consulta T-SQL?,Forçar a recompilação do plano de execução para cada execução da consulta,Otimizar o plano de execução para uma carga de trabalho específica,Melhorar a segurança da consulta,Reduzir o uso de memória,A,"A cláusula 'OPTION (RECOMPILE)' força a recompilação do plano de execução da consulta para cada execução, o que pode ser benéfico em situações onde os parâmetros ou a distribuição dos dados mudam significativamente entre execuções.",,,
99,8. T-SQL no Warehouse,Qual é o propósito da função 'ROW_NUMBER()' em T-SQL?,Atribuir um número de linha único a cada linha dentro de uma partição de uma resultado,Calcular a soma de uma coluna para cada grupo de linhas,Encontrar o valor máximo de uma coluna,Remover linhas duplicadas,A,A função 'ROW_NUMBER()' é usada para atribuir um número de linha único a cada linha dentro de uma partição de um resultado de consulta. Isso é útil para identificar linhas únicas ou para realizar operações que dependem da ordem das linhas.,,,
100,5. Segurança e Governança,Um engenheiro de dados está projetando um pipeline de dados para uma empresa de saúde que lida com informações confidenciais de pacientes. Qual é a melhor abordagem para garantir a segurança dos dados durante o processamento?,"Usar criptografia em repouso e em trânsito, além de implementar autenticação e autorização para acessar os dados.",Armazenar todos os dados em um único repositório não criptografado para facilitar o acesso.,Transmitir dados confidenciais via e-mail não criptografado.,Desativar todas as medidas de segurança para aumentar a velocidade do processamento de dados.,A,"A resposta correta (A) é a melhor abordagem porque a criptografia em repouso e em trânsito protege os dados contra acessos não autorizados. Além disso, a autenticação e autorização garantem que apenas usuários autorizados possam acessar os dados. As alternativas B, C e D são erradas porque comprometem a segurança dos dados de maneira significativa.",,,
101,5. Segurança e Governança,Qual é o principal objetivo da governança de dados em um projeto de engenharia de dados?,Garantir a velocidade do processamento de dados.,Minimizar os custos de armazenamento de dados.,"Estabelecer políticas e procedimentos para gerenciar a qualidade, segurança e conformidade dos dados.",Aumentar a complexidade dos pipelines de dados.,C,"A resposta correta (C) é o principal objetivo da governança de dados, pois envolve estabelecer políticas e procedimentos para garantir a qualidade, segurança e conformidade dos dados, o que é fundamental para a tomada de decisões informadas e para cumprir com regulamentações. As alternativas A, B e D são erradas porque não refletem o foco principal da governança de dados.",,,
102,5. Segurança e Governança,Um engenheiro de dados precisa garantir que os dados coletados sejam conformes com as leis de privacidade de dados. Qual é a melhor prática para garantir a conformidade?,Coletar o máximo de dados possível sem considerar a privacidade.,Obter consentimento explícito dos usuários antes de coletar e processar seus dados.,Usar apenas métodos de coleta de dados automatizados.,Ignorar as leis de privacidade de dados e se concentrar apenas na velocidade do processamento.,B,"A resposta correta (B) é a melhor prática porque obter consentimento explícito dos usuários antes de coletar e processar seus dados é uma forma de garantir a conformidade com as leis de privacidade de dados, como o GDPR e o LGPD. As alternativas A, C e D são erradas porque violam princípios de privacidade e conformidade.",,,
103,5. Segurança e Governança,Qual é o propósito da autenticação multifator (MFA) em um sistema de engenharia de dados?,Aumentar a velocidade de processamento de dados.,Reduzir a segurança do sistema.,Garantir que apenas usuários autorizados acessem o sistema ou os dados.,Simplificar a recuperação de senhas esquecidas.,C,"A resposta correta (C) é o propósito da autenticação multifator, pois adiciona uma camada extra de segurança, exigindo que os usuários forneçam duas ou mais formas de verificação (como senha, token, biometria) para acessar o sistema ou os dados, reduzindo assim o risco de acessos não autorizados. As alternativas A, B e D são erradas porque não refletem corretamente o propósito da MFA.",,,
104,5. Segurança e Governança,Um engenheiro de dados está trabalhando em um projeto que envolve a transferência de dados confidenciais entre diferentes locais. Qual é a melhor prática para proteger esses dados durante a transferência?,Usar conexões não criptografadas e protocolos de transferência abertos.,"Comprimir os dados para reduzir o tamanho e, portanto, aumentar a velocidade de transferência.","Usar criptografia em trânsito, como SSL/TLS, para proteger os dados durante a transferência.",Desativar a autenticação para agilizar o processo de transferência.,C,"A resposta correta (C) é a melhor prática porque a criptografia em trânsito, como SSL/TLS, protege os dados contra interceptação e leitura não autorizada durante a transferência. As alternativas A, B e D são erradas porque comprometem a segurança dos dados ou não oferecem proteção adequada contra acessos não autorizados.",,,
105,5. Segurança e Governança,Qual é o papel da auditoria de segurança em um projeto de engenharia de dados?,Identificar e mitigar vulnerabilidades de segurança no sistema ou nos processos de dados.,Aumentar a capacidade de processamento de dados.,Reduzir a complexidade do pipeline de dados.,Ignorar as questões de segurança para focar na velocidade.,A,"A resposta correta (A) é o papel da auditoria de segurança, pois envolve identificar e mitigar vulnerabilidades de segurança, garantindo que os sistemas e processos de dados estejam protegidos contra ameaças. As alternativas B, C e D são erradas porque não refletem o objetivo principal da auditoria de segurança.",,,
106,5. Segurança e Governança,Um engenheiro de dados precisa implementar controles de acesso para garantir que apenas os usuários autorizados acessem determinados conjuntos de dados. Qual é a melhor abordagem?,Implementar o modelo de controle de acesso baseado em papéis (RBAC).,Conceder acesso irrestrito a todos os usuários.,Usar apenas autenticação de senha para controlar o acesso.,Desativar todos os controles de acesso para facilitar o uso.,A,"A resposta correta (A) é a melhor abordagem porque o modelo de controle de acesso baseado em papéis (RBAC) permite atribuir permissões com base nas funções ou papéis dos usuários dentro da organização, garantindo que o acesso aos dados seja controlado e restrito apenas àqueles que precisam dele para realizar suas tarefas. As alternativas B, C e D são erradas porque comprometem a segurança e a governança dos dados.",,,
107,5. Segurança e Governança,Qual é o objetivo da criptografia de dados em repouso em um sistema de engenharia de dados?,Aumentar a velocidade de processamento de dados.,Proteger os dados armazenados contra acessos não autorizados.,Reduzir a capacidade de armazenamento necessário.,Simplificar a recuperação de dados.,B,"A resposta correta (B) é o objetivo da criptografia de dados em repouso, pois protege os dados armazenados contra acessos não autorizados, garantindo que mesmo se os dados forem acessados por um intruso, eles estarão ilegíveis sem a chave de descriptografia. As alternativas A, C e D são erradas porque não refletem o propósito principal da criptografia de dados em repouso.",,,
108,5. Segurança e Governança,Um engenheiro de dados está trabalhando em um projeto que envolve a integração de dados de várias fontes. Qual é a melhor prática para garantir a consistência e a confiabilidade dos dados?,Ignorar a qualidade dos dados e focar apenas na integração.,Implementar processos de validação e limpeza de dados antes da integração.,Usar apenas algoritmos de aprendizado de máquina para corrigir erros de dados.,Reduzir a frequência de atualização dos dados para diminuir a complexidade.,B,"A resposta correta (B) é a melhor prática porque implementar processos de validação e limpeza de dados antes da integração garante que os dados sejam precisos, completos e consistentes, o que é fundamental para a tomada de decisões informadas e para manter a confiabilidade dos sistemas de dados. As alternativas A, C e D são erradas porque comprometem a qualidade e a confiabilidade dos dados.",,,
109,5. Segurança e Governança,Qual é o papel da gestão de identidade e acesso (IAM) em um sistema de engenharia de dados?,Gerenciar a capacidade de armazenamento de dados.,Otimizar a velocidade de processamento de dados.,"Garantir que apenas usuários autorizados acessem os sistemas e dados, controlando a identidade e o acesso.",Reduzir a segurança do sistema para aumentar a flexibilidade.,C,"A resposta correta (C) é o papel da gestão de identidade e acesso, pois envolve garantir que apenas usuários autorizados acessem os sistemas e dados, controlando a identidade e o acesso de maneira centralizada e segura. As alternativas A, B e D são erradas porque não refletem o objetivo principal da IAM.",,,
110,6. Monitoramento e Otimização,Um engenheiro de dados está monitorando o desempenho de um pipeline de dados no Azure Data Factory. Ele nota que o pipeline está levando mais tempo do que o esperado para processar os dados. Qual é a melhor abordagem para identificar o gargalo?,Verificar os logs do Azure Data Factory para identificar erros ou falhas,Utilizar o recurso de monitoramento do Azure Data Factory para visualizar o fluxo de dados e identificar o estágio que está levando mais tempo,Executar o pipeline novamente com um conjunto de dados menor para testar o desempenho,Desativar o pipeline e recriá-lo do zero,B,A resposta correta é B porque o recurso de monitoramento do Azure Data Factory fornece uma visão detalhada do fluxo de dados e permite que os engenheiros de dados identifiquem rapidamente os gargalos e otimizem o pipeline. As outras alternativas não são eficazes para identificar o gargalo de forma eficiente.,,,
111,6. Monitoramento e Otimização,"Um time de engenharia de dados está desenvolvendo um pipeline de dados que envolve a integração de vários serviços do Azure, incluindo o Azure Storage, o Azure Databricks e o Azure Synapse Analytics. Qual é a melhor abordagem para monitorar o desempenho do pipeline?",Utilizar o Azure Monitor para coletar métricas e logs de cada serviço do Azure,Implementar um sistema de monitoramento personalizado utilizando o Azure Functions e o Azure Cosmos DB,Utilizar o recurso de monitoramento do Azure Data Factory para monitorar o pipeline,Não é necessário monitorar o desempenho do pipeline,A,"A resposta correta é A porque o Azure Monitor fornece uma solução integrada para coletar métricas e logs de vários serviços do Azure, permitindo que os engenheiros de dados monitorem o desempenho do pipeline de forma centralizada e eficaz.",,,
112,6. Monitoramento e Otimização,Um engenheiro de dados está trabalhando em um projeto que envolve a carga de dados do Azure Storage para o Azure Synapse Analytics. Ele nota que o processo de carga está levando mais tempo do que o esperado. Qual é a melhor abordagem para otimizar o desempenho da carga de dados?,Aumentar o número de instâncias do Azure Synapse Analytics,Utilizar o recurso de particionamento do Azure Storage para dividir os dados em partições menores,Implementar um padrão de carga de dados em paralelo utilizando o Azure Data Factory,Desativar a carga de dados e recarregar os dados manualmente,C,"A resposta correta é C porque a implementação de um padrão de carga de dados em paralelo utilizando o Azure Data Factory permite que os dados sejam carregados de forma mais eficiente e rápida, reduzindo o tempo de carga.",,,
113,6. Monitoramento e Otimização,Um time de engenharia de dados está desenvolvendo um pipeline de dados que envolve a transformação de dados utilizando o Azure Databricks. Qual é a melhor abordagem para monitorar o desempenho do pipeline de transformação?,Utilizar o recurso de monitoramento do Azure Databricks para visualizar o desempenho do cluster,Implementar um sistema de monitoramento personalizado utilizando o Azure Functions e o Azure Cosmos DB,Utilizar o Azure Monitor para coletar métricas e logs do Azure Databricks,Não é necessário monitorar o desempenho do pipeline de transformação,A,"A resposta correta é A porque o recurso de monitoramento do Azure Databricks fornece uma visão detalhada do desempenho do cluster, permitindo que os engenheiros de dados identifiquem rapidamente os gargalos e otimizem o pipeline de transformação.",,,
114,6. Monitoramento e Otimização,Um engenheiro de dados está trabalhando em um projeto que envolve a carga de dados do Azure Storage para o Azure Cosmos DB. Ele nota que o processo de carga está levando mais tempo do que o esperado. Qual é a melhor abordagem para otimizar o desempenho da carga de dados?,Aumentar o número de instâncias do Azure Cosmos DB,Utilizar o recurso de particionamento do Azure Storage para dividir os dados em partições menores,Implementar um padrão de carga de dados em paralelo utilizando o Azure Data Factory,Desativar a carga de dados e recarregar os dados manualmente,C,"A resposta correta é C porque a implementação de um padrão de carga de dados em paralelo utilizando o Azure Data Factory permite que os dados sejam carregados de forma mais eficiente e rápida, reduzindo o tempo de carga.",,,
115,6. Monitoramento e Otimização,"Um time de engenharia de dados está desenvolvendo um pipeline de dados que envolve a integração de vários serviços do Azure, incluindo o Azure Storage, o Azure Databricks e o Azure Synapse Analytics. Qual é a melhor abordagem para gerenciar as dependências entre os serviços?",Utilizar o Azure Resource Manager para gerenciar as dependências entre os serviços,Implementar um sistema de gerenciamento de dependências personalizado utilizando o Azure Functions e o Azure Cosmos DB,Utilizar o recurso de dependências do Azure Data Factory para gerenciar as dependências entre os serviços,Não é necessário gerenciar as dependências entre os serviços,C,"A resposta correta é C porque o recurso de dependências do Azure Data Factory fornece uma solução integrada para gerenciar as dependências entre os serviços, permitindo que os engenheiros de dados definam as dependências de forma clara e eficaz.",,,
116,6. Monitoramento e Otimização,Um engenheiro de dados está trabalhando em um projeto que envolve a carga de dados do Azure Storage para o Azure Synapse Analytics. Ele nota que o processo de carga está levando mais tempo do que o esperado. Qual é a melhor abordagem para identificar o gargalo?,Verificar os logs do Azure Synapse Analytics para identificar erros ou falhas,Utilizar o recurso de monitoramento do Azure Data Factory para visualizar o fluxo de dados e identificar o estágio que está levando mais tempo,Executar o pipeline novamente com um conjunto de dados menor para testar o desempenho,Desativar o pipeline e recriá-lo do zero,B,A resposta correta é B porque o recurso de monitoramento do Azure Data Factory fornece uma visão detalhada do fluxo de dados e permite que os engenheiros de dados identifiquem rapidamente os gargalos e otimizem o pipeline.,,,
117,6. Monitoramento e Otimização,Um time de engenharia de dados está desenvolvendo um pipeline de dados que envolve a transformação de dados utilizando o Azure Databricks. Qual é a melhor abordagem para otimizar o desempenho do pipeline de transformação?,Aumentar o número de instâncias do Azure Databricks,Utilizar o recurso de caching do Azure Databricks para armazenar os resultados intermediários,Implementar um padrão de transformação de dados em paralelo utilizando o Azure Data Factory,Desativar a transformação de dados e recarregar os dados manualmente,B,"A resposta correta é B porque o recurso de caching do Azure Databricks permite que os resultados intermediários sejam armazenados e reutilizados, reduzindo o tempo de transformação e melhorando o desempenho do pipeline.",,,
118,6. Monitoramento e Otimização,Um engenheiro de dados está trabalhando em um projeto que envolve a carga de dados do Azure Storage para o Azure Cosmos DB. Ele nota que o processo de carga está levando mais tempo do que o esperado. Qual é a melhor abordagem para otimizar o desempenho da carga de dados?,Aumentar o número de instâncias do Azure Cosmos DB,Utilizar o recurso de particionamento do Azure Storage para dividir os dados em partições menores,Implementar um padrão de carga de dados em paralelo utilizando o Azure Data Factory,Desativar a carga de dados e recarregar os dados manualmente,C,"A resposta correta é C porque a implementação de um padrão de carga de dados em paralelo utilizando o Azure Data Factory permite que os dados sejam carregados de forma mais eficiente e rápida, reduzindo o tempo de carga.",,,
119,6. Monitoramento e Otimização,"Um time de engenharia de dados está desenvolvendo um pipeline de dados que envolve a integração de vários serviços do Azure, incluindo o Azure Storage, o Azure Databricks e o Azure Synapse Analytics. Qual é a melhor abordagem para gerenciar as configurações do pipeline?",Utilizar o Azure Resource Manager para gerenciar as configurações do pipeline,Implementar um sistema de gerenciamento de configurações personalizado utilizando o Azure Functions e o Azure Cosmos DB,Utilizar o recurso de configurações do Azure Data Factory para gerenciar as configurações do pipeline,Não é necessário gerenciar as configurações do pipeline,C,"A resposta correta é C porque o recurso de configurações do Azure Data Factory fornece uma solução integrada para gerenciar as configurações do pipeline, permitindo que os engenheiros de dados definam as configurações de forma clara e eficaz.",,,
120,6. Monitoramento e Otimização,Um engenheiro de dados está trabalhando em um projeto que envolve a transformação de dados utilizando o Azure Databricks. Ele nota que o processo de transformação está levando mais tempo do que o esperado. Qual é a melhor abordagem para identificar o gargalo?,Verificar os logs do Azure Databricks para identificar erros ou falhas,Utilizar o recurso de monitoramento do Azure Databricks para visualizar o desempenho do cluster,Executar o pipeline novamente com um conjunto de dados menor para testar o desempenho,Desativar o pipeline e recriá-lo do zero,B,"A resposta correta é B porque o recurso de monitoramento do Azure Databricks fornece uma visão detalhada do desempenho do cluster, permitindo que os engenheiros de dados identifiquem rapidamente os gargalos e otimizem o pipeline de transformação.",,,
121,6. Monitoramento e Otimização,"Um time de engenharia de dados está desenvolvendo um pipeline de dados que envolve a integração de vários serviços do Azure, incluindo o Azure Storage, o Azure Databricks e o Azure Synapse Analytics. Qual é a melhor abordagem para testar o pipeline?",Utilizar o Azure Data Factory para testar o pipeline,Implementar um sistema de teste personalizado utilizando o Azure Functions e o Azure Cosmos DB,Utilizar o recurso de teste do Azure Databricks para testar o pipeline,Não é necessário testar o pipeline,A,"A resposta correta é A porque o Azure Data Factory fornece uma solução integrada para testar o pipeline, permitindo que os engenheiros de dados testem o pipeline de forma eficaz e rápida.",,,
122,6. Monitoramento e Otimização,Um engenheiro de dados está trabalhando em um projeto que envolve a carga de dados do Azure Storage para o Azure Cosmos DB. Ele nota que o processo de carga está levando mais tempo do que o esperado. Qual é a melhor abordagem para otimizar o desempenho da carga de dados?,Aumentar o número de instâncias do Azure Cosmos DB,Utilizar o recurso de particionamento do Azure Storage para dividir os dados em partições menores,Implementar um padrão de carga de dados em paralelo utilizando o Azure Data Factory,Desativar a carga de dados e recarregar os dados manualmente,C,"A resposta correta é C porque a implementação de um padrão de carga de dados em paralelo utilizando o Azure Data Factory permite que os dados sejam carregados de forma mais eficiente e rápida, reduzindo o tempo de carga.",,,
123,6. Monitoramento e Otimização,"Um time de engenharia de dados está desenvolvendo um pipeline de dados que envolve a integração de vários serviços do Azure, incluindo o Azure Storage, o Azure Databricks e o Azure Synapse Analytics. Qual é a melhor abordagem para gerenciar as dependências entre os serviços?",Utilizar o Azure Resource Manager para gerenciar as dependências entre os serviços,Implementar um sistema de gerenciamento de dependências personalizado utilizando o Azure Functions e o Azure Cosmos DB,Utilizar o recurso de dependências do Azure Data Factory para gerenciar as dependências entre os serviços,Não é necessário gerenciar as dependências entre os serviços,C,"A resposta correta é C porque o recurso de dependências do Azure Data Factory fornece uma solução integrada para gerenciar as dependências entre os serviços, permitindo que os engenheiros de dados definam as dependências de forma clara e eficaz.",,,
124,6. Monitoramento e Otimização,Um engenheiro de dados está trabalhando em um projeto que envolve a transformação de dados utilizando o Azure Databricks. Ele nota que o processo de transformação está levando mais tempo do que o esperado. Qual é a melhor abordagem para otimizar o desempenho do pipeline de transformação?,Aumentar o número de instâncias do Azure Databricks,Utilizar o recurso de caching do Azure Databricks para armazenar os resultados intermediários,Implementar um padrão de transformação de dados em paralelo utilizando o Azure Data Factory,Desativar a transformação de dados e recarregar os dados manualmente,B,"A resposta correta é B porque o recurso de caching do Azure Databricks permite que os resultados intermediários sejam armazenados e reutilizados, reduzindo o tempo de transformação e melhorando o desempenho do pipeline.",,,
125,6. Monitoramento e Otimização,"Um time de engenharia de dados está desenvolvendo um pipeline de dados que envolve a integração de vários serviços do Azure, incluindo o Azure Storage, o Azure Databricks e o Azure Synapse Analytics. Qual é a melhor abordagem para monitorar o desempenho do pipeline?",Utilizar o Azure Monitor para coletar métricas e logs de cada serviço do Azure,Implementar um sistema de monitoramento personalizado utilizando o Azure Functions e o Azure Cosmos DB,Utilizar o recurso de monitoramento do Azure Data Factory para monitorar o pipeline,Não é necessário monitorar o desempenho do pipeline,A,"A resposta correta é A porque o Azure Monitor fornece uma solução integrada para coletar métricas e logs de vários serviços do Azure, permitindo que os engenheiros de dados monitorem o desempenho do pipeline de forma centralizada e eficaz.",,,
126,7. RLS (Row-Level Security),Um cliente deseja implementar o Row-Level Security (RLS) em sua base de dados SQL Server para restringir o acesso a linhas específicas com base no usuário conectado. Qual é o primeiro passo necessário para implementar o RLS?,Criar uma função de segurança que defina as regras de acesso,Habilitar o RLS no banco de dados,Criar um esquema de segurança para o banco de dados,Definir as permissões de acesso para cada usuário,B,"Antes de criar qualquer regra ou função de segurança, é necessário habilitar o RLS no banco de dados. Isso é feito com o comando 'ALTER DATABASE [nome_do_banco] SET ROW_LEVEL_SECURITY = ON;'. Somente após a habilitação, você pode criar funções de segurança e definir regras de acesso.",,,
127,7. RLS (Row-Level Security),Qual é o objetivo principal do Row-Level Security (RLS) em um banco de dados?,Criptografar os dados para proteger contra acessos não autorizados,Controlar o acesso a linhas específicas com base em critérios de segurança,Implementar o controle de versão para os dados,Realizar backups automáticos do banco de dados,B,"O RLS é uma funcionalidade de segurança que permite controlar o acesso a linhas específicas de uma tabela com base em critérios definidos, como o usuário conectado, o papel do usuário, etc. Isso ajuda a proteger os dados contra acessos não autorizados e garantir a segurança e a privacidade dos dados.",,,
128,7. RLS (Row-Level Security),Como você pode aplicar o Row-Level Security (RLS) a uma tabela específica em um banco de dados SQL Server?,Usando a cláusula WHERE na consulta SQL,Criando uma vista que aplique as regras de segurança,Definindo uma função de segurança que filtre as linhas com base em critérios de segurança,Alterando as permissões de acesso da tabela,C,"Para aplicar o RLS a uma tabela, você precisa criar uma função de segurança que defina as regras de acesso. Essa função é então aplicada à tabela usando a instrução 'ALTER TABLE [nome_da_tabela] WITH (RLS = [nome_da_funcao_de_seguranca]);'. A função de segurança filtra as linhas com base em critérios de segurança, como o usuário conectado ou o papel do usuário.",,,
129,7. RLS (Row-Level Security),Qual é o benefício de usar o Row-Level Security (RLS) em vez de outras abordagens de segurança?,Melhor desempenho em consultas,Maior flexibilidade na definição de regras de segurança,Menor complexidade na implementação,Todas as alternativas acima,D,"O RLS oferece vários benefícios, incluindo melhor desempenho em consultas, pois as regras de segurança são aplicadas diretamente no servidor de banco de dados, reduzindo a quantidade de dados transferidos. Além disso, o RLS proporciona maior flexibilidade na definição de regras de segurança, permitindo que as regras sejam personalizadas de acordo com as necessidades específicas da aplicação. Por fim, a implementação do RLS pode ser menos complexa do que outras abordagens de segurança, pois não requer mudanças significativas na aplicação ou nos dados.",,,
130,7. RLS (Row-Level Security),Como você pode testar as regras de segurança implementadas com o Row-Level Security (RLS) em um banco de dados SQL Server?,Executando consultas como diferentes usuários para verificar o acesso,Usando a ferramenta de teste de segurança do SQL Server,Analisando os logs de segurança do banco de dados,Verificando as permissões de acesso das tabelas,A,"Para testar as regras de segurança implementadas com o RLS, você pode executar consultas como diferentes usuários para verificar se o acesso está sendo controlado corretamente de acordo com as regras definidas. Isso ajuda a garantir que as regras de segurança estejam funcionando como esperado e que os dados estejam sendo protegidos contra acessos não autorizados.",,,
131,7. RLS (Row-Level Security),Qual é o papel da função de segurança no Row-Level Security (RLS) de um banco de dados SQL Server?,Definir as permissões de acesso para os usuários,Criar vistas que apliquem as regras de segurança,Filtrar as linhas com base em critérios de segurança,Gerenciar os logs de segurança do banco de dados,C,"A função de segurança no RLS é responsável por filtrar as linhas com base em critérios de segurança, como o usuário conectado, o papel do usuário, etc. Essa função é definida pelo administrador do banco de dados e é aplicada às tabelas para controlar o acesso a linhas específicas.",,,
132,7. RLS (Row-Level Security),Como você pode garantir que o Row-Level Security (RLS) esteja habilitado para todas as tabelas de um banco de dados SQL Server?,Executando um script que habilita o RLS para cada tabela,Configurando o RLS no nível do banco de dados,Definindo regras de segurança para cada tabela individualmente,Usando uma política de segurança do SQL Server,B,"Para garantir que o RLS esteja habilitado para todas as tabelas de um banco de dados, você pode configurar o RLS no nível do banco de dados. Isso é feito com o comando 'ALTER DATABASE [nome_do_banco] SET ROW_LEVEL_SECURITY = ON;'. Essa configuração habilita o RLS para todas as tabelas do banco de dados, permitindo que você defina regras de segurança de forma centralizada.",,,
133,7. RLS (Row-Level Security),Qual é o impacto do Row-Level Security (RLS) no desempenho do banco de dados?,O RLS melhora significativamente o desempenho do banco de dados,O RLS não tem impacto no desempenho do banco de dados,O RLS pode causar um ligeiro impacto no desempenho do banco de dados devido à adicional verificação de segurança,O RLS sempre degrada o desempenho do banco de dados,C,"O RLS pode causar um ligeiro impacto no desempenho do banco de dados devido à adicional verificação de segurança realizada em cada consulta. No entanto, esse impacto é geralmente mínimo e é mais do que compensado pelos benefícios de segurança proporcionados pelo RLS. Além disso, o RLS pode, em alguns casos, melhorar o desempenho ao reduzir a quantidade de dados que precisam ser processados e transferidos.",,,
134,7. RLS (Row-Level Security),Como você pode monitorar o acesso a linhas específicas de uma tabela com o Row-Level Security (RLS) habilitado?,Usando os logs de segurança do SQL Server,Monitorando as estatísticas de desempenho do banco de dados,Executando consultas de auditoria personalizadas,Verificando as permissões de acesso das tabelas,A,"Para monitorar o acesso a linhas específicas de uma tabela com o RLS habilitado, você pode usar os logs de segurança do SQL Server. Esses logs registram todas as atividades de acesso ao banco de dados, incluindo as consultas executadas e os dados acessados. Isso ajuda a identificar quais usuários estão acessando quais linhas e se as regras de segurança estão sendo aplicadas corretamente.",,,
